date_published,origin,destination,price_eur,normal_price_eur,cabin,airline,hours_bookable,outcome,certainty,collector,source_url
2017-04-28,BCN,Sao Paulo,807,0,business,Azul Brazilian Airlines,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-business-class-madrid-barcelona-spain-sao-paulo-brazil-e807-roundtrip/
2017-06-12,MAD,Santo Domingo,205,0,economy,Aeromexico,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-amsterdam-netherlands-central-south-america-caribbean-e136-roundtrip/
2017-06-12,MAD,Guatemala City,205,0,economy,Aeromexico,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-amsterdam-netherlands-central-south-america-caribbean-e136-roundtrip/
2017-06-12,MAD,Lima (LIM) / Panama City (PTY) / Havana (HAV) / Guatemala City (GUA) and more,204,0,economy,Aeromexico,0,unknown,documented,fly4free-jack,https://www.fly4free.com/flight-deals/europe/error-fare-madrid-to-central-south-america-from-just-e204/
2017-06-29,BCN,Miami,454,0,business,Air Berlin,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-business-class-barcelona-spain-miami-new-york-los-angeles-usa-e454-roundtrip/
2017-08-27,MAD,Cancun,850,0,business,unknown,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-business-class-europe-mexico-usa-canada-e850-roundtrip/
2017-10-05,BCN,Sao Paulo,269,0,economy,unknown,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-many-european-cities-brazil-e232-roundtrip/
2017-10-05,MAD,Sao Paulo,281,0,economy,unknown,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-many-european-cities-brazil-e232-roundtrip/
2017-10-05,MAD,New York,150,0,economy,Royal Air Maroc,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-many-european-cities-new-york-usa-e148-roundtrip/
2018-04-29,BCN,"Salvador, Brazil",680,0,business,LATAM,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-summer-business-class-from-barcelona-spain-to-salvador-brazil-for-only-e680-roundtrip/
2019-01-04,BCN,New York,442,0,business,Alitalia,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-business-class-from-spain-to-the-usa-from-only-e442-roundtrip-lie-flat-seats/
2019-01-04,MAD,Boston,443,0,business,Alitalia,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-business-class-from-spain-to-the-usa-from-only-e442-roundtrip-lie-flat-seats/
2019-01-04,MAD,Los Angeles (LAX),479,0,business,Alitalia,0,unknown,reported,forums-social,https://www.secretflying.com/posts/error-fare-business-class-from-spain-to-the-usa-from-only-e442-roundtrip-lie-flat-seats/
2019-02-06,VGO,Mexico City,187,0,economy,Iberia,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-vigo-spain-to-mexico-city-mexico-for-only-e187-roundtrip/
2019-02-06,MAD,Veracruz,208,0,economy,Iberia,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-vigo-spain-to-mexico-city-mexico-for-only-e187-roundtrip/
2019-02-06,SVQ,Veracruz,219,0,economy,Iberia,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-vigo-spain-to-mexico-city-mexico-for-only-e187-roundtrip/
2019-02-06,MAD,Mexico City (MEX) / Veracruz,187,0,economy,Iberia,0,unknown,reported,spanish-sites,https://www.secretflying.com/posts/error-fare-vigo-spain-to-mexico-city-mexico-for-only-e187-roundtrip/
2019-02-06,SVQ,"Mexico City or Veracruz, Mexico",187,0,economy,Iberia,0,unknown,reported,aviation-press,https://www.secretflying.com/posts/error-fare-vigo-spain-to-mexico-city-mexico-for-only-e187-roundtrip/
2019-05-13,MAD,Lima,245,0,economy,unknown,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-madrid-spain-to-peru-or-ecuador-from-only-e245-roundtrip/
2019-05-13,MAD,Peru (Lima) or Ecuador (Quito / Guayaquil),245,0,economy,unknown,0,unknown,documented,spanish-sites,https://www.secretflying.com/posts/error-fare-madrid-spain-to-peru-or-ecuador-from-only-e245-roundtrip/
2019-08-28,BCN,Boston,86,0,economy,Air Canada,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-barcelona-spain-to-boston-usa-for-only-e86-roundtrip/
2019-09-04,MAD,New York,103,0,economy,Air Canada,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-madrid-or-barcelona-spain-to-new-york-usa-from-only-e103-roundtrip/
2019-09-04,BCN,Boston (BOS),98,0,economy,Air Canada / Lufthansa / Brussels Airlines,0,unknown,documented,fly4free-jack,https://www.secretflying.com/posts/error-fare-barcelona-spain-to-boston-usa-for-only-e98-roundtrip/
2019-09-04,BCN,New York (NYC),104,0,economy,Air Canada / Brussels Airlines,0,unknown,documented,fly4free-jack,https://www.secretflying.com/posts/error-fare-madrid-or-barcelona-spain-to-new-york-usa-from-only-e103-roundtrip/
2019-10-24,BCN,Boston,59,0,economy,Air Canada / Lufthansa / Swiss,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-barcelona-spain-to-boston-usa-for-only-e98-roundtrip/
2019-10-24,MAD,Boston,103,0,economy,Air Canada / Lufthansa / Swiss,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-madrid-spain-to-boston-usa-for-only-e103-roundtrip/
2021-01-14,MAD,Lima,479,0,business,unknown,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-business-class-from-european-cities-to-lima-or-cusco-peru-from-only-e479-roundtrip/
2021-01-14,MAD,Cusco,528,0,business,unknown,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-business-class-from-european-cities-to-lima-or-cusco-peru-from-only-e479-roundtrip/
2021-03-04,MAD,Sao Paulo,157,0,economy,unknown,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-european-cities-to-brazil-from-only-e68-roundtrip/
2021-03-04,MAD,Rio de Janeiro,211,0,economy,unknown,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-european-cities-to-brazil-from-only-e68-roundtrip/
2021-03-04,MAD,Cancun,159,0,economy,unknown,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-european-cities-to-cancun-mexico-from-only-e132-roundtrip/
2022-02-18,MAD,"USA (open-jaw, return to Europe)",118,0,economy,unknown,0,unknown,inferred,secretflying-spain,https://www.secretflying.com/posts/error-fare-open-jaw-from-prague-czech-republic-to-the-usa-returning-to-europe-from-only-e118/
2022-04-05,MAD,Munich,69,0,business,Iberia,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-summer-business-class-from-munich-germany-to-madrid-spain-vice-versa-for-only-e63-roundtrip/
2022-05-11,BCN,Montreal,106,0,economy,unknown,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-barcelona-spain-to-montreal-canada-for-only-e106-roundtrip/
2022-06-16,MAD,"Santiago, Chile",318,0,business,Iberia / LATAM,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-business-class-from-madrid-spain-to-santiago-chile-for-only-e318-roundtrip/
2022-06-21,BCN,New York,139,0,economy,American Airlines,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-non-stop-from-barcelona-spain-to-new-york-usa-for-only-e139-roundtrip/
2024-11-10,MAD,Mexico City,366,0,business,Air Europa / Aeromexico,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-business-class-from-madrid-spain-to-mexico-city-mexico-for-only-e366-one-way/
2025-10-20,BIO,Mexico City,428,0,business,Aeromexico,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-business-class-from-bilbao-spain-to-mexico-city-mexico-for-only-e424-one-way/
2026-01-09,MAD,Mexico City,496,0,business,Air Europa / Aeromexico,0,unknown,inferred,secretflying-spain,https://www.secretflying.com/posts/error-fare-business-class-from-spanish-cities-to-mexico-city-mexico-from-only-e496-one-way/
2026-01-09,PMI,"Mexico City, Mexico",496,0,business,Air Europa / Aeromexico,0,unknown,documented,aviation-press,https://www.secretflying.com/posts/error-fare-business-class-from-spanish-cities-to-mexico-city-mexico-from-only-e496-one-way/
2026-01-09,AGP,"Mexico City, Mexico",519,0,business,Air Europa / Aeromexico,0,unknown,documented,aviation-press,https://www.secretflying.com/posts/error-fare-business-class-from-spanish-cities-to-mexico-city-mexico-from-only-e496-one-way/
2026-01-09,LPA (Gran Canaria),"Mexico City, Mexico",523,0,business,Air Europa / Aeromexico,0,unknown,documented,aviation-press,https://www.secretflying.com/posts/error-fare-business-class-from-spanish-cities-to-mexico-city-mexico-from-only-e496-one-way/
2026-06-10,MAD,"New York (open-jaw, return to London)",705,0,business,unknown,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-open-jaw-business-class-from-dublin-ireland-to-the-us-canada-returning-to-europe-from-only-e808-roundtrip/
2026-07-02,MAD,"San Salvador (open-jaw, return Sao Paulo-Hamburg)",163,0,economy,Iberia,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-open-jaw-from-european-cities-to-latin-america-from-only-e152-roundtrip/
2026-07-02,PMI,"Sao Paulo (open-jaw, return to Hamburg)",173,0,economy,Iberia,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-open-jaw-from-european-cities-to-latin-america-from-only-e152-roundtrip/
2026-07-02,MAD,"Sao Paulo (GRU), open-jaw return from San Salvador/Hamburg",163,0,economy,Iberia,0,unknown,reported,forums-social,https://www.secretflying.com/posts/error-fare-open-jaw-from-european-cities-to-latin-america-from-only-e152-roundtrip/
